,price
287,3399987.5
1738,2059992.3
6412,5149992.96
7077,6667990.0
7553,10999982.8
7613,9849984.0
4791,11299957.5
6622,5400000.0
4650,10950000.0
2827,8249007.6
1684,7200000.0
5227,6383970.220000001
1338,5548960.0
5128,7899969.0
2742,7499991.600000001
6530,5149994.0
6576,5259985.0
3880,5249975.0
4482,7999993.199999999
2902,8499988.799999999
2258,3949994.6
4712,10399992.899999999
4868,10699963.200000001
3966,6749952.300000001
7033,7199987.199999999
7012,4199990.4
4416,9299990.0
1564,6219990.5
6121,6369980.399999999
4661,11299981.6
7611,10199981.05
3163,8999977.1
2185,4150000.0
3882,5699946.100000001
1231,7299970.0
5049,9598973.4
1258,6199969.7
2254,3900000.0
1951,3099958.1599999997
7447,9199967.0
113,849992.0
6803,4800000.0
2509,7200000.0
5872,6349970.6
4058,7999997.0
2973,8199984.0
2548,6624987.06
3413,5699995.7
507,2799984.0
5744,6179968.199999999
4098,7399994.100000001
3529,9349994.0
7363,4049964.1
5202,6699972.0
4076,7449979.999999999
5300,4949973.0
2850,7699986.0
4693,10749947.8
4270,8798961.5
7537,7949956.0
350,3699980.4
7175,7645990.8
2906,8644984.5
4604,10499998.8
4575,9948971.200000001
2505,7599989.9
2620,6899986.800000001
4343,10999968.0
1114,5999980.0
2846,8476982.700000001
5663,5799976.7
298,2749988.0
1675,6899970.0
7276,6448128.0
7589,12017970.2
3409,6346982.399999999
6111,6979988.8
6540,5360997.319999999
3616,6599950.0
5286,5299977.0
229,2349984.96
76,1779986.3
3922,4299970.2
7081,5869998.0
7800,4399991.2
5160,7200000.0
2103,5529996.0
7347,6799995.0
3611,6699966.0
3460,8100000.0
6351,3749998.0
5556,5299994.7
7064,6717990.4
1614,6739992.0
607,3699984.0
7521,9649976.0
4734,9689988.0
1093,4699994.0
3148,8999994.600000001
2622,6699982.6
7160,8299975.199999999
7866,2720000.0
8009,5400000.0
203,2550000.0
2387,9199971.0
4716,10349979.200000001
4615,10498995.0
837,4998985.2
2934,8899968.0
6890,6349990.0
7944,4300000.0
1230,3399987.0
6087,6699996.0
1609,6299982.0
7494,10998999.0
3708,7300000.0
5040,10549998.9
7230,9299980.799999999
4292,8659961.9
2732,7274300.0
3322,8849988.6
6157,5529994.100000001
5317,4949977.5
4126,7949991.4
4383,9799987.2
3742,7250000.0
6116,7199993.2
3151,8749981.5
3497,10199980.8
7605,9999981.6
657,4249984.0
790,3098982.6
3076,8200000.0
4879,10899993.6
6609,5099982.32
2561,5749995.6
3977,6589980.0
1359,6049981.0
5885,6789978.5
2347,4590000.0
5438,6299985.6
7303,10799992.0
2781,8399976.9
3260,9199996.0
5888,6849984.68
6089,6200000.0
7004,3499992.8
6035,7418517.0
615,3459972.8
2575,6200000.0
6129,6199975.6
2314,3899996.0999999996
1705,6999980.0
5684,5549974.800000001
3821,7449984.0
6881,6049974.3
1780,6900000.0
3392,5699997.0
803,3889984.0
857,4849981.0
6865,6349993.3
4684,10499972.76
990,4979970.0
5922,5789988.0
4240,8489992.0
6616,4999970.69
5666,5799992.0
219,2999980.8000000003
3889,5199957.0
1288,5989974.3
582,4199973.0
2618,6699981.6
43,2499981.0
1234,6549973.100000001
7132,4849988.399999999
7579,12899976.0
6193,4389996.8
7747,6989989.8
1892,7598977.300000001
4885,10598992.5
7017,4899999.5
4590,9149983.0
6626,5250000.12
1071,5098993.7
718,2349984.0
2364,5199990.0
1505,5649990.0
670,2199996.0
4620,8399980.6
2952,8998974.600000001
4842,9299989.9
6411,5099976.100000001
4656,10989962.0
897,5199981.5
6451,5200000.0
2666,7325000.0
2890,8249978.0
4151,6799978.2
1530,5400000.0
8004,4598992.26
6704,2599973.1999999997
6280,2599996.0
7650,6071274.779999999
3833,6579990.0
6991,2999993.0
3774,6849975.0
3383,5399997.600000001
6115,6699970.65
1874,7649978.15
2370,5249989.5
1769,7499999.15
5830,6594996.0
6247,3779999.9999999995
1983,2849997.6
531,2299984.1999999997
5748,6399981.0
6049,6998990.600000001
6074,5999978.399999999
2881,8644984.5
81,1749996.0
3914,5599998.8
6523,5199981.3
3279,8699983.200000001
2163,2389992.6
731,2499992.2
2339,3199996.8000000003
5832,5999986.8
2232,3398999.5
3787,6999988.899999999
4059,7899998.399999999
7552,10349977.600000001
5263,5849979.0
5469,5399976.5
3209,9024995.0
7234,9299992.5
6505,4849988.2
2705,5099979.6
1255,2948877.5999999996
2104,5599984.0
4320,8799936.8
4417,9349994.0
4584,9398970.0
898,5299993.600000001
428,5489998.399999999
5548,5099987.2
6431,4409997.1
6275,2899988.5999999996
7726,6299990.4
1222,6549993.5
3286,9300000.0
6907,2599981.08
5757,6299994.4
5156,7299967.999999999
5313,4499985.199999999
6054,6849993.3
1621,6899970.0
7158,8389975.5
3164,8999991.0
4326,11864967.4
6399,4749999.8
1096,5849970.0
2715,5989988.9
2072,6032691.0
7239,9199990.8
5391,4249976.0
7286,7799976.0
6246,3899992.5
6761,3000000.0
2588,6317480.0
1788,6919982.399999999
5815,6099974.0
3960,6299953.0
528,2399996.1999999997
7424,8599985.200000001
192,2599978.4
4294,8800000.0
1126,5689966.5
3478,6688476.0
7021,3610000.0
3479,10999951.200000001
304,2724972.9
4031,7999974.5
1292,5999966.300000001
70,1990000.0
5874,6699985.600000001
4581,9599960.7
2687,4989985.0
